loan_id,loan_amount,region
211042,22400.0,West
211061,22400.0,West
211224,22400.0,West
210984,22400.0,West
211019,22400.0,West
211095,22400.0,West
211218,22400.0,West
211165,22400.0,West
211079,22400.0,West
211050,22400.0,West
211103,22400.0,West
211065,22400.0,West
211211,22400.0,West
210981,22400.0,West
211109,22400.0,West
211046,22400.0,West
211181,22400.0,West
211044,22400.0,West
185030,19200.0,West
185384,19200.0,West
185360,19200.0,West
185229,19200.0,West
184911,19200.0,West
184908,19200.0,West
184748,19200.0,West
184887,19200.0,West
184868,19200.0,West
185011,19200.0,West
185055,19200.0,West
185394,19200.0,West
184872,19200.0,West
184718,19200.0,West
184933,19200.0,West
185331,19200.0,West
185244,19200.0,West
184594,19200.0,West
184934,19200.0,West
184784,19200.0,West
184620,19200.0,West
184715,19200.0,West
185158,19200.0,West
185440,19200.0,West
184678,19200.0,West
184770,19200.0,West
184826,19200.0,West
185135,19200.0,West
184655,19200.0,West
184780,19200.0,West
184766,19200.0,West
184818,19200.0,West
185191,19200.0,West
184809,19200.0,West
185435,19200.0,West
185008,19200.0,West
185127,19200.0,West
185455,19200.0,West
185112,19200.0,West
184739,19200.0,West
184688,19200.0,West
184859,19200.0,West
185077,19200.0,West
184765,19200.0,West
185380,19200.0,West
185462,19200.0,West
184724,19200.0,West
185047,19200.0,West
185093,19200.0,West
185054,19200.0,West
185302,19200.0,West
184689,19200.0,West
185036,19200.0,West
185023,19200.0,West
184769,19200.0,West
184890,19200.0,West
185085,19200.0,West
184927,19200.0,West
185045,19200.0,West
185361,19200.0,West
184970,19200.0,West
184686,19200.0,West
185125,19200.0,West
185032,19200.0,West
185447,19200.0,West
185284,19200.0,West
184886,19200.0,West
185025,19200.0,West
184753,19200.0,West
184959,19200.0,West
185154,19200.0,West
184832,19200.0,West
185227,19200.0,West
184772,19200.0,West
184948,19200.0,West
184726,19200.0,West
184627,19200.0,West
184973,19200.0,West
184672,19200.0,West
185218,19200.0,West
184605,19200.0,West
185328,19200.0,West
184902,19200.0,West
184596,19200.0,West
184944,19200.0,West
184896,19200.0,West
185208,19200.0,West
185446,19200.0,West
184967,19200.0,West
165966,16000.0,West
166883,16000.0,West
162509,16000.0,West
162844,16000.0,West
163025,16000.0,West
164558,16000.0,West
163766,16000.0,West
165721,16000.0,West
168242,16000.0,West
168395,16000.0,West
168715,16000.0,West
169596,16000.0,West
167295,16000.0,West
167440,16000.0,West
166455,16000.0,West
166132,16000.0,West
164042,16000.0,West
163815,16000.0,West
165717,16000.0,West
164950,16000.0,West
163134,16000.0,West
167136,16000.0,West
162435,16000.0,West
163302,16000.0,West
165226,16000.0,West
164501,16000.0,West
165123,16000.0,West
167833,16000.0,West
162587,16000.0,West
169485,16000.0,West
166638,16000.0,West
163064,16000.0,West
169138,16000.0,West
162589,16000.0,West
166536,16000.0,West
165856,16000.0,West
164334,16000.0,West
168733,16000.0,West
161912,16000.0,West
162163,16000.0,West
168996,16000.0,West
166151,16000.0,West
162812,16000.0,West
167078,16000.0,West
168275,16000.0,West
164517,16000.0,West
163141,16000.0,West
165619,16000.0,West
161853,16000.0,West
161804,16000.0,West
164377,16000.0,West
165170,16000.0,West
167653,16000.0,West
168227,16000.0,West
162680,16000.0,West
167436,16000.0,West
162434,16000.0,West
167051,16000.0,West
163456,16000.0,West
169177,16000.0,West
168193,16000.0,West
165451,16000.0,West
166653,16000.0,West
168049,16000.0,West
164828,16000.0,West
162667,16000.0,West
167194,16000.0,West
162014,16000.0,West
166125,16000.0,West
168704,16000.0,West
166731,16000.0,West
168249,16000.0,West
162586,16000.0,West
163235,16000.0,West
166919,16000.0,West
169227,16000.0,West
166786,16000.0,West
163137,16000.0,West
163444,16000.0,West
164372,16000.0,West
166421,16000.0,West
162104,16000.0,West
168874,16000.0,West
167617,16000.0,West
169583,16000.0,West
162723,16000.0,West
168165,16000.0,West
166468,16000.0,West
162396,16000.0,West
166130,16000.0,West
169289,16000.0,West
163817,16000.0,West
164500,16000.0,West
166373,16000.0,West
168514,16000.0,West
169398,16000.0,West
162323,16000.0,West
163300,16000.0,West
168801,16000.0,West
162523,16000.0,West
168810,16000.0,West
165642,16000.0,West
164823,16000.0,West
164475,16000.0,West
163288,16000.0,West
169553,16000.0,West
162594,16000.0,West
162046,16000.0,West
165971,16000.0,West
167918,16000.0,West
161962,16000.0,West
166627,16000.0,West
166375,16000.0,West
168220,16000.0,West
165713,16000.0,West
165311,16000.0,West
164478,16000.0,West
168883,16000.0,West
167542,16000.0,West
163752,16000.0,West
162301,16000.0,West
163386,16000.0,West
168775,16000.0,West
167282,16000.0,West
166066,16000.0,West
169470,16000.0,West
165284,16000.0,West
168906,16000.0,West
168393,16000.0,West
163900,16000.0,West
169273,16000.0,West
168456,16000.0,West
163982,16000.0,West
164399,16000.0,West
165849,16000.0,West
166954,16000.0,West
164717,16000.0,West
167975,16000.0,West
169035,16000.0,West
165294,16000.0,West
162533,16000.0,West
166040,16000.0,West
165627,16000.0,West
164343,16000.0,West
164393,16000.0,West
169526,16000.0,West
162935,16000.0,West
169524,16000.0,West
168380,16000.0,West
161889,16000.0,West
162609,16000.0,West
162510,16000.0,West
163534,16000.0,West
166143,16000.0,West
168271,16000.0,West
165511,16000.0,West
168427,16000.0,West
169324,16000.0,West
165802,16000.0,West
162204,16000.0,West
165604,16000.0,West
166901,16000.0,West
162671,16000.0,West
166930,16000.0,West
161788,16000.0,West
165896,16000.0,West
165762,16000.0,West
162832,16000.0,West
165897,16000.0,West
168713,16000.0,West
168124,16000.0,West
165842,16000.0,West
164257,16000.0,West
165643,16000.0,West
168194,16000.0,West
167405,16000.0,West
163739,16000.0,West
165860,16000.0,West
164055,16000.0,West
169179,16000.0,West
169433,16000.0,West
162045,16000.0,West
165564,16000.0,West
163995,16000.0,West
165970,16000.0,West
167196,16000.0,West
165652,16000.0,West
167497,16000.0,West
169422,16000.0,West
162217,16000.0,West
165482,16000.0,West
167184,16000.0,West
168777,16000.0,West
162482,16000.0,West
168093,16000.0,West
167974,16000.0,West
166747,16000.0,West
166123,16000.0,West
167784,16000.0,West
168217,16000.0,West
166001,16000.0,West
165969,16000.0,West
168129,16000.0,West
163062,16000.0,West
163620,16000.0,West
168164,16000.0,West
164913,16000.0,West
163824,16000.0,West
163011,16000.0,West
165755,16000.0,West
168300,16000.0,West
162853,16000.0,West
163421,16000.0,West
163133,16000.0,West
168772,16000.0,West
165526,16000.0,West
162643,16000.0,West
163479,16000.0,West
166607,16000.0,West
169611,16000.0,West
168304,16000.0,West
167332,16000.0,West
167920,16000.0,West
169623,16000.0,West
164337,16000.0,West
163148,16000.0,West
166292,16000.0,West
162862,16000.0,West
162722,16000.0,West
165104,16000.0,West
163959,16000.0,West
167700,16000.0,West
161798,16000.0,West
163457,16000.0,West
168980,16000.0,West
164744,16000.0,West
162881,16000.0,West
169387,16000.0,West
163180,16000.0,West
163636,16000.0,West
163703,16000.0,West
163162,16000.0,West
163136,16000.0,West
165523,16000.0,West
163747,16000.0,West
167779,16000.0,West
169063,16000.0,West
164394,16000.0,West
167311,16000.0,West
168622,16000.0,West
162721,16000.0,West
165601,16000.0,West
